hpo_iri,hpo_label,term,term_label,do_type,digital_object,file_url
http://purl.obolibrary.org/obo/HP_0002283,Global brain atrophy,http://purl.obolibrary.org/obo/UBERON_0000955,brain,ref-organ,https://purl.humanatlas.io/ref-organ/brain-male,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb
http://purl.obolibrary.org/obo/HP_0005411,Chronic intestinal candidiasis,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-female,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/3d-vh-f-skin.glb
http://purl.obolibrary.org/obo/HP_0005411,Chronic intestinal candidiasis,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-male,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/3d-vh-m-skin.glb
http://purl.obolibrary.org/obo/HP_0033729,Minimal mesangial lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.3/assets/3d-vh-f-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033729,Minimal mesangial lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.3/assets/3d-vh-f-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0033729,Minimal mesangial lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.3/assets/3d-vh-m-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033729,Minimal mesangial lupus nephritis,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.3/assets/3d-vh-m-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0004964,Pulmonary arterial medial hypertrophy,http://purl.obolibrary.org/obo/UBERON_0002012,pulmonary artery,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-female,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.3/assets/3d-vh-f-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0004964,Pulmonary arterial medial hypertrophy,http://purl.obolibrary.org/obo/UBERON_0002012,pulmonary artery,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-male,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.3/assets/3d-vh-m-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0031441,Abnormal tricuspid valve annulus morphology,http://purl.obolibrary.org/obo/UBERON_0002134,tricuspid valve,ref-organ,https://purl.humanatlas.io/ref-organ/heart-female,https://cdn.humanatlas.io/digital-objects/ref-organ/heart-female/v1.3/assets/3d-vh-f-heart.glb
